සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය,පරිවර්තනය
87,උපශික-රෙතය ලෙණෙ ශගශ,උපාසිකා රෙතගේ ලෙණ සංඝයාටයි
88,පරුමක-විශදෙව-පුත පරුමක-සුමනහ ලෙණෙ ශග-නියතෙ,පරුම මුඛ විසදේවගේ පුත් පරමනොමුඛ සුමනගේ ලෙණ සංඝයා සඳහා නියම/පරිත්යා ග කරන ලදී
89,යහශිනි-ශමණිය ලෙණෙ අගත-අනගත-චතු-දිශ-ශගශ,යහසිනි මෙහෙණියගේ ලෙණ පැමිණි නො පැමිණි සිව්දිග සංඝයාටයි
90,බත-පලහ ලෙණෙ ශගශ,බත පාලගේ ලෙණ සංඝයාටයි
91,පරුමක-තිශ-පුත පරුමක-කුමරහ ලෙණෙ ගිරිවජෙ ශගශ,පරුම මුඛ තිස්සගේ පුත් පරමර මුඛ කුමාරගේ ගිරිබ්බජ ලෙණ සංඝයාටයි
92,ගමික-යශොබල පුත බත-යග-දතහ ලෙණෙ,ගමික යසපාලගේ පුත් බත යාගදත්තගේ ලෙණ
93,.. .. .. .. .. .. ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ,.. .. .. .. .. .. ලෙණ පැමිණි නො පැමිණි සිව් දිග සංඝයාටයි
93 (a),(1) බත ශුමනහ ලෙණෙ ශගශ දිනේ (2) තිශ මහරඣහ කලිහි,බත සුමනගේ ලෙණ සංඝයාට දෙන ලදී තිස්ස මහරජ කාලයේ දී
93 (b),හරිටිමතහ මනොරමෙ ලෙණෙ,හාරීටීමාතරනො (නම්) මනෝරම්යණ ලෙණ
93 (c),කශබශ (ලෙණෙ ශගශ),කස්සපගේ (ලෙණ සංඝයාටයි)
93 (d),පරුමක-පුශහ (ලෙණෙ) අගත-(අනගත චතු-දිශ-ශගශ),පරුම මුඛ පුස්සගේ (ලෙණ) පැමිණි (නොපැමිණි සිව්දිග සංඝයාටයි)
93 (e),.. .. .. .. .. .. ලෙණෙ අගත-අනගත චතුදිශ-ශගශ,.. .. .. .. .. .. ලෙණ පැමිණි නො පැමිණි සිව්දිග සංඝයාටයි
1113a,"[1] සිධවිය වළ-මලයහ
[2] (පු)ත වහණක-අහ(ලිය)
[3] ලෙණෙ සගස නි(යෙ)තෙ",සිතවියහි වළ-මලයගේ පුත් වූ වහනක අහ(ලිය)ගේ ලෙණ සංගයාට පරිත්යාීග කෙරේ.
1,ජොති[ශෙ]න-තෙරශ අතිවශික බත ශුමනදත-තෙරශ ලෙ[නෙ] ශගශ‌‌‌‌,ජෝතිසේන තෙරණුවන්ගේ අතවැසි වූ බත සුමනදත්ත තෙරණුවන්ගේ ලෙන සංඝයාට [දෙන ලදී]
2,ද‌ෙ[ව]නපිය-මහරඣහ බරියය බ[කිනිය] උපශික-වරුණ[දත]  [ල‌ෙ]න‌ෙ,දෙවනපිය මහරජගේ භාර්යාවගේ සොයුරිය වූ වරුණදත්තා උපාසිකාවගේ ලෙන
3,(1) බඩකරික-පරුමක තිශ-පුත පරුමක්=අශද(2) ගුතහ ලෙනෙ,භාණ්ඩාගාරික ප්‍රමුඛ තිස්සගේ පුත් ප්‍රමුඛ අසාල්හගුත්තගේ ලෙන
4,මහරඣහ ගමනි-තිශශ බරිය උපශික-කිටකය ලෙනෙ ශගශ,මහරජ ගාමණී තිස්සගේ භාර්යාව වූ උපාසිකා කිටකගේ ලෙන සංඝයාට [දෙන ලදී]
5,ගපති-වෙග-ඣිතය උපශික-විශ[කය ලෙනෙ],ගෘහපති වෙග ගේ දියණිය වූ උපාසිකා විශාඛා ගේ ලෙන
6,උපශික-තිශය ලෙනෙ,උපාසිකා තිස්සාගේ ලෙන
7,පරුමක-ගුත-පුත පරුමක-ශුමනහ ලෙනෙ අගත-අනගත [ච]තු-දි[ශ]-ශගශ,ප්‍රමුඛ ගුත්තගේ පුත් වූ ප්‍රමුඛ සුමනගේ ලෙන පැමිණියා වූත් නොපැමිණියා වූත් සතර දෙස සංඝයා වෙත [දෙන ලදී]
8,තිශ-ශමනිය ලෙනෙ ශගශ,තිස්සා භික්ෂුණියගේ ලෙන සංඝයාට [දෙන ලදී]
9,පරුමක-[වෙ]ශමණ-පුත-බරණිය ලෙණ‌ෙ ද‌ෙවහ ච චතු-දිශ-ශගශ,පරුමක වෙශමණගේ සහ දෙවගේ පුත් වූ බරණිගේ ලෙන සතරදිග සංඝයාට [දෙන ලදී]
10,උපශික-මහනගය-ඣිතය උපශික-රො[ණි]ය ශගශ,උපාසිකා මහානාගා ගේ දියණිය වන උපාසිකා රොණිගේ [ලෙන] සංඝයාට [දෙන ලදී]
11,පරුමක-නග-පුත-අසලිය ලෙණ‌ෙ අගත-අනගත-චතුදිසික-සගයෙ,ප්‍රමුඛ නාගගේ පුත් අසලිගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදිග සංඝයා වෙත [දෙන ලදී]
12,උපශික-පුරුශදතය ලෙණ‌ෙ,උපාසිකා පුරිසදත්තාගේ ලෙණ
13,(සංකේත අංක 4b) ගමණි-ධමරඣශ පුතශ අය-අශලිශ ලෙණ‌ෙ,ගාමණී ධම්මරාජගේ පුත් අසලි කුමරුගේ ලෙණ
14,කණගම-ර[ඣශ] තිශහ ඣිත ශවෙර-ශමණිය ල‌ෙණ‌ෙ ශගශ,කණගමෙ හි රජු වූ තිස්සගේ දියණිය වන භික්ෂුණී සවෙරගේ ලෙණ සංඝයාට [දෙන ලදී]
15,"අංක14දරණ ශිලා ලේඛනයෙහි අන්තර්ගතය හා සමාන වන නමුත් ""ශගශ"" යන වදන අන්තර්ගත නොවෙයි.",
16,පරුමක-හුමන-පුත උපසක......දිනෙ,ප්‍රමුඛ සුමනගේ පුත් වූ උපාසක.......[ගේ ලෙන සංඝයාට] දෙන ලදී.
17,මහ උ[ටිය]ක.......ලෙණ‌ෙ ශගශ,මහ උටියක ගේ........ලෙණ සංඝයාට
18,ගම[ණි]-අබයශ ඣයය අබි-කණය ලෙණ‌ෙ ශගශ මනප (දශනෙ),ගාමණී අභයගේ භාර්යාව වූ (අබි)කණය කුමරියගේ මනාප(දස්සන) ලෙණ සංඝයාට දෙන ලදී.
19,(1) පරුමක නමලි-ශුමන-පුත පරුමක-නමලිය ලෙණ‌ෙ(2) නමලිය ලෙණ‌ෙ ශගශ,ප්‍රමුඛ නමලි සුමනගේ පුත් ප්‍රමුඛ නමලි ගේ ලෙණ; නමලිගේ ලෙණ සංඝයාට [දෙන ලදී]
20,පරුමක-නමලි-ශුමන-පුත පරුමක-නමලිය ල‌ෙණ‌ෙ ශගශ,ප්‍රමුඛ නමලි සුමනගේ පුත් වූ ප්‍රමුඛ නමලිගේ ලෙණ සංඝයාට [දෙන ලදී]
21,දමදි (නා-තෙරශ ල‌ෙණ‌ෙ) [ශ]ගශ දිනෙ,ධම්මදින්(න) (තෙරණුවන්ගේ ලෙණ) සංඝයාට දෙන ලදී.
22,බඩකරි[ක-පරු]මක-තිශ-පුත බඩකරික-පරුමක-මගහ ල‌ෙණ‌ෙ ශගශ,භාණ්ඩාගාරික ප්‍රමුඛ තිස්සගේ පුත් වූ භාණ්ඩාගාරික ප්‍රමුඛ මාඝගේ ලෙණ සංඝයාට [දෙන ලදී]
23,උපශක-නගමිතහ බරියය උපශික-[ශි]ලය ල‌ෙණ‌ෙ ශගශ,උපාසක නාගමිත්තගේ භාර්යාව වූ උපාසිකා [ශි]ලාගේ ලෙණ සංඝයාට [දෙන ලදී]
24,(1) පරුමක-පොටිමශහ පුත උටිය ච ශොමදෙවහ ච(2) අගතමගත ශගශ,ප්‍රමුඛ පොටිමශගේ පුතුන් වන උටියගේ ද සොමදෙවගේ ද [ලෙන] පැමිණියා වූ (සියලු) සංඝයාට [දෙන ලදී]
25,(1) ගුත-පුතහ පරුමක-පුරහ ල‌ෙණ‌ෙ(2) අගත්-අගත චතු-දිශ-ශගශ,ගුත්තගේ පුත් වූ ප්‍රමුඛ පුරගේ ලෙණ සතර දෙසින් පැමිණි (සියලු) සංඝයා වෙත දෙන ලදී.
26,(1) උපශක තල-තිශහ(2) පුත ශුමනහ ල‌ෙණ‌ෙ ශගශ,උපාසක තාල-තිස්සගේ පුත් වූ සුමනගේ ලෙණ සංඝයාට [දෙන ලදී]
27,ගමික-උදයහ ඣය උපශි[ක]-තිශය ල‌ෙණ‌ෙ සගස,ගම් ප්‍රධානී උදයගේ භාර්යාව වූ උපාසිකා තිස්සාගේ ලෙණ සංඝයාට [දෙන ලදී]
28,..........[අගත-අ]නගත චතු-දිශ-ශගහ නියතෙ,...........සතර දෙසින් පැමිණියාවූත් නොපැමිණියාවූත් සංඝයා වෙත පිරිනමන ලදී.
29,(1) දෙවනපිය-මහරඣ-ගමණි-අබයශ පුත(2) ලොණාපි අය-ශිවශ ල‌ෙණ‌ෙ ශගශ,දේවානම්පිය ගාමණී අභය රජුගේ පුත් වූ ලොණාපි හි කුමාරයා වන සිව ගේ ලෙණ සංඝයාට [දෙන ලදී]
30,බතිය මනලිකචිය පුත පරුමක-අශමනහ ල‌ෙණ‌ෙ ශගශ,
31,මහරඣහ ගමිණි-තිශහ බරිය උපශික-රමදතය ල‌ෙණ‌ෙ ශගශ,මහරජ ගාමණී තිස්සගේ භාර්යාව වූ උපාසිකා රාමදත්තාගේ ලෙණ සංඝයාට [දෙන ලදී]
32,(1) ගමික-ඣිත උපශික-බදය ල‌ෙණ‌ෙ(2) ශගශ,ගම් ප්‍රධානීගේ දියණිය වන උපාසිකා භද්දාගේ ලෙණ සංඝයාට [දෙන ලදී]
33,ගපති කචිලි [පු]ත.........ශගශ,.........ගෘහපති කචිලිගේ පුත්........ සංඝයාට
34,(1) ගමණි-උති-මහරඣහ [ඣිත අබි-ති]ශය ල‌ෙණ‌ෙ දශ-දිශශ සගයෙ දිනෙ (සංකේත අංක3a සහ1)(2) මත-පිතශ අටය,"මහරජ ගාමණී-උත්තියගේ දියණිය වූ තිස්සා කුමරියගේ ලෙණ දසදෙස වූ සංඝයාට දෙන ලදී, මවගේ සහ පියාගේ යහපත උදෙසා."
35,මනපදශනෙ තිශබුතිය,තිස්සභූතිගේ මනාපදස්සන (නම් ලෙන)
36,ශ‌ොණගුත-තෙරහ ල‌ෙණ‌ෙ ශගශ,සොණගුත්ත තෙරුණ්ගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
37,දිපරඣ-ඣිතය මහබිය ල‌ෙණ‌ෙ ශගශ,දීපරාජ (මුළු දිවයිනට ම රජු වූ) ගේ දියණිය වූ මහාම්බි(කා)ගේ ලෙණ සංඝයාට [දෙන ලදී]
38,පරුමක-නමලි-ශුමන-පුතහ පරුමක-යශ‌ොපලහ ල‌ෙණ‌ෙ ශගශ,"ප්‍රමුඛ නමලි සුමනගේ පුත් වූ ප්‍රමුඛ යසොපාලගේ ල‌ෙණ‌, සංඝයාට [දෙන ලදී]"
39,බඩගරික-ගමික-අනුඩිය ඣිත උපශික-තිශය ල‌ෙණ‌ෙ ශගශ,"භාණ්ඩාගාරික, ගම් ප්‍රධානී අනුඩිගේ දියණිය වන තිස්සාගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]"
40,ගමික-ශිවශ ඣිතය උපශික-උපලය ල‌ෙණ‌ෙ ශගශ,ගම් ප්‍රධානි සිවගේ දියණිය වන උපාසිකා උප්පලාගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
41,බත ශොණගුතහ,සොණගුත්ත
42,ශුමන-පුතහ පරුමක-යශ‌ොපලහ ල‌ෙණ‌ෙ ශගශ,සුමනගේ පුත් වන ප්‍රමුඛ යසෝපාලගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
43,පුෂගු[ත-තෙරහ අතෙව]ශික බරත-තිශහ ල‌ෙණ‌ෙ ශගශ,ඵුස්සගුත්ත තෙරුණ්ගේ අතවැසි වනන්ක්ඤජ්බ්කතිස්සගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
44,පරුමක-චුඩහ ල‌ෙණ‌ෙ ශගශ,ප්‍රමුඛ චුඩගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
45,ශ‌ොණගුත-තෙරශ ල‌ෙණ‌ෙ ශගශ,සොණගුත්ත තෙරුණ්ගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
46,[ගමණි]-උති-[දෙ]ව[න]පි[ය]-මහරඣහ ඣ[ය] ශුමන-දෙවිය ලෙණ‌ෙ අගත-අනගත චතු-දිශ-ශගශ,දෙවියන්ට ප්‍රිය වූ මහරජගාමණී උත්තියගේ භාර්යාව වන සුමනාදේවියගේ ලෙණ සතර දෙසින් පැමිණියාවූත් නොපැමිණියාවූත් සංඝයා වෙත [දෙන ලදී]
47,දෙ[ව]නපිය-මහරඣහ ගමණි-උ[ති]..........(හ) නිමණ‌ෙ,දෙවියන්ට ප්‍රිය වූ මහරජ ගාමණී උත්තිය....... නිර්මාණයක් වූ.........
48,..........හ ලෙණ‌ෙ ශගශ,............ගේ ලෙණ‌ සංඝයාට [දෙන ලදී]
49,............ ශ ලෙණ‌ෙ ශගශ,ගේ ලෙණ‌ සංඝයාට [දෙන ලදී]
50,(1) ........ඣිතය උපශික වෙ.......(2) අගත-අනගත චතු-දිශ-ශගශ,...........ගේ දියණිය වන උපාසිකා වෙ........[ලෙන] පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී]
51,...........බුතශ පු[ත]...........[ඣ]ය උපශික ශුලශීය ල‌ෙණ‌ෙ ශගශ,..........ගේ පුත් වූ ........ගේ භාර්යාව වන උපාසිකා සුලශිගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
52,(1) ........ශ බරිය ....... (2) ශ ශගශ,........ භාර්යාව වන ......... සංඝයාට
53,............ ල‌ෙණ‌ෙ ශගශ,........... ල‌ෙණ‌ සංඝයාට
54,පරුමක-නග-පුත පරුමක-පිගල-ගුතස ල‌ෙන‌ෙ අගත-අනගත-චතු-දිස-සඝස දින‌ෙ,ප්‍රමුඛ නාගග‌ේ පුත් ප්‍රමුඛ පිංගලගුත්තග‌ේ ල‌ෙන සතර දිසාවෙන් පැමිණියා වූත් නොපැමිණියා වූත් සංඝයා උදෙසා දෙන ලදී.
55,ශුමනගුතශ ලෙනෙ ශගශ,සුමනගුත්තගේ ලෙන සංඝයාට [දෙන ලදී]
56,ගමණි දමර[ඣ] .............,....... ගාමණී ධම්මරාජ .........
57,කබල-තිශහ ල‌ෙණ‌ෙ ශගශ,කම්බල-තිස්සගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
58,පරුමක-මලි-ඣිතය උපසික-පලය ල‌ෙණ‌ෙ සගශ,ප්‍රමුඛ මාලින්ගේ දියණිය වන උපාසිකා පාලාගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
59,පරුමක-සෙන-පුත බඩකරික-පරුමක-සෙනහ ල‌ෙණ‌ෙ ශගශ,"ප්‍රමුඛ සෙනගේ පුත් වන භාණ්ඩාගාරික, ප්‍රමුඛ සෙනගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]"
60,දමගුත-තෙරහ ල‌ෙණ‌ෙ අගත-අනගත-චතු-දි[ශ]-ශගශ,ධම්මගුත්ත තෙරුණ්ගේ ල‌ෙණ‌ෙ සතර දිසාවෙන් පැමිණියාවූත් නොපැමිණියාවූත් සංඝයාට [දෙන ලදී]
61,පරුමක....... ඉම විහර කරිත පුශදෙව-තෙරහ ල‌ෙණ‌ෙ සගස,ප්‍රමුඛ........ කරවන ලද විහාරය. ඵුස්සදේව තෙරුණ්ගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
62,පරුමක තණක-සමුද-පුතහ පරුමක-සෙනහ ල‌ෙණ‌ෙ සගස,ප්‍රමුඛ තණක-සමුද්දගේ පුත් වන ප්‍රමුඛ සෙනගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
63,බඩකරික-පරුමක-සෙනහ ල‌ෙණ‌ෙ සගස,"භාණ්ඩාගාරික, ප්‍රමුඛ සෙනගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]"
64,බඩකරික-පරුමක-සෙනහ බරිය උපසික-සුමන[ය] ල‌ෙණ‌ෙ සගස,"භාණ්ඩාගාරික, ප්‍රමුඛ සෙනගේ භාර්යාව වන උපාසිකා සුමනාගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]"
65,මෙම අංකය යටතේ ඇති සෙල්ලිපිය හා එහි අර්ථය අංක63සෙල්ලිපිය හා සමාන වෙයි.,
66,මෙම අංකය යටතේ ඇති සෙල්ලිපිය හා එහි අර්ථය අංක63සෙල්ලිපිය හා සමාන වෙයි.,
67,බමණ-පුත-රෙටහ ල‌ෙණ‌ෙ ස[ග]ස,බ්‍රාහ්මණගේ පුත් වන රෙටගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
68,........ උපශක ........,......... උපාසක ..........
69,පකර-අදෙක ශමුදහ ල‌ෙණ‌ෙ ශගශ,මාර්ග අධ්‍යක්ෂක සමුද්දගේ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
70,(1) දත-තෙරහ ල‌ෙණ‌ෙ දන(2) ශගශ,දත්ත තෙරුණ්ගේ ල‌ෙණ‌ සංඝයාට තිලිණ කරන ලදී.
71,චුඩ-ශ‌ොණහ මත උපශික රකිය ලෙ[ණ‌ෙ],චුල්ල-සොණගේ මව වන උපාසිකා රකිගේ ල‌ෙණ‌
72,(1) පරුමක-රක-පුත පරුමක-පරක(2) අශහ ල‌ෙණ‌ෙ (සංකේත අංක07දෙවරක් දක්වා ඇත),ප්‍රමුඛ රක්ඛගේ පුත් වන ප්‍රමුඛ පරක අශගේ ල‌ෙණ‌
73,..........මහ-ල‌ෙණ‌ෙ ශගශ,........... මහ ල‌ෙණ‌ සංඝයාට [දෙන ලදී]
74,(1) මණිකර-මලගුතහ(2) පදග[ඩිනි],මිණිවඩු මූලගුත්තගේ පියගැටපෙළ
75,මහයහ පුතහ අරකෙ,මහයගේ (යුවරජ) පුතුගේ ආරක්ෂකයා
94,(a) ඉලුබරතහි දමෙඩ-ශමණ‌ෙ කරිතෙ දමෙඩ-ගහපතිකන පශදෙ (b) ශගශ අශනෙ(c) නශටශ අශනෙ (d) ක.......තිශහ අශනෙ (e) ....... අශනෙ (f) කුබිර ශුඣටහ (g) නවීක-කාරවහ අශනේ,(a) ඉලුබරතහි ද්‍රවිඩ සමණ විසින් ද්‍රවිඩ ගෘහපතියන්ගේ පහය ඉදිකරන ලදී  (b) සගගේ ආසනය(c) නසටගේ ආසනය  (d) ක.......තිස්සගේ ආසනය  (e) ....... ගේ ආසනය  (f) කුබිර සුජාතගේ  (g) නාවික කාරවගේ ආසනය
95,(උපශික-ති)ශය තිණි ශිලපටනි,(උපාසිකා) තිස්සාගේ ශිලා පුවරු ත්‍රිත්වය
96,මුරිඩි-ඌතරහ ශ‌ෙණි,"මුරුණ්ඩීය, උත්තරගේ පියගැටපෙළ"
97,(1) [ග]පති ශුම-පුත ශුමනහ .........,ගෘහපති සුම්මගේ පුත් වූ සුමනගේ .........
98,"(1) වර්තමාන නැගෙනහිර මළුව සඳහා යොදාගත් හුණුගල් කොටසක් මත (CJSG,II, p.27, No.408). දමතිහ (2) දකුණු වාහල්කඩ‌ෙහි මුල් ආකෘතියෙන්. (1) පුශ(ගු)- (2)- තශ- දකුණු වාහල්කඩෙහි ඇතුළත හමුවන මුල් ආයක වේදිකාවෙහි කොටස් මත. (3) ශිව[හ] (4) කශබහ (5) ශුරඣහ (6) ශුරඣහ (7) නිල-ශමුදෙ (8) නිල-ශමුදෙ (9) කණික-තිශහ (10) චුඩහ (11) ගපති චිතහ (12) [කො]ශිකෙ (13) කණික-[ති]ශ[හ] (13) සංකේත අංක1සහ22(14) චු, දකුණු දෙසට මුහුණලා ලියා ඇත.",(1) දමති ගේ (1) පුස්ස(ගු)- (2)- ත්ත ගේ - (3) ශිව[ගේ] (4) කශබගේ (5) ශුරඣගේ  (6) ශුරඣගේ  (7) නිල-ශමුදෙ (8) නිල-ශමුදෙ (9) කණික-තිස්සගේ  (10) චුඩගේ  (11) ගෘහපති චිතගේ (12) [කො]ශිකෙ (13) කණික-[ති]ස්ස[ගේ] (13) සංකේත අංක1සහ22(14) චු
99,ගපති-අටක-පුතශ ශිදශ,ගෘහපති අට්ඨකගේ පුත් වන සිද්ධගේ
100,[1] බත-ගුතශ ලෙණ‌ෙ බත-ශගමිතශ ලෙණ‌ෙ ශදය ලෙණ‌ෙ අගත-අනගත චතු-දිශ ශ[ගශ],"ප්‍රමුඛ ගුත්තගේ ලෙණ, ප්‍රමුඛ සංඝමිත්තගේ ලෙණ සහයෝගයෙන්, සතර දෙසින් පැමිණියාවූත් නොපැමිණියාවූත් සංඝයාට [දෙන ලදී]"
101,[2] බරත-නගහ ලෙණ‌ෙ ශගශ,ස්වාමි නාගගේ ලෙණ සංඝයාට [දෙන ලදී]
102,[3] උපශක අ[බ]යහ ලෙණ‌ෙ,උපාසක අභයගේ ලෙණ
103,ශමණ තිශගොතශ ...........,........... ශමන තිස්සගොත්තගේ
104,[1] පරුමක-උති-පුතහ පරුමක-ශුමහ ලෙණ‌ෙ ශගශ,ප්‍රමුඛ උත්තියගේ පුත් වූ ප්‍රමුඛ සුම්මගේ ලෙණ සංඝයාට [දෙන ලදී]
105,[2] භොජකටකස නාවිකස පදගඩිනි,භොජකට (වෙත ගමන් ගන්නා) නැවියාගේ පියගැටපෙළ
106,[1] පරුමක-තිමර-පුතශ පරුමක-දිගගුතශ ලෙණ‌ෙ ශගශ,ප්‍රමුඛ තිමරගේ පුත් වූ ප්‍රමුඛ දීඝගුත්තගේ ලෙණසංඝයාට [දෙන ලදී]
107,[2] පරුමක.........පරුමක-දිනශ ලෙණ‌ෙ ශගශ,ප්‍රමුඛ ........ ප්‍රමුඛ දින්නාගේ ලෙණ‌ සංඝයාට [දෙන ලදී]
108,[3] තිශගුතශ ච පුශශ ච ලෙණ‌ෙ,තිස්සගුත්තගේ ද  ඵුස්සගේ ද ලෙණ‌
109,[4] උතිය ලෙණ‌ෙ,උත්තියගේ ලෙණ‌
110,නගහ ලෙණ‌ෙ,නාගගේ ලෙණ‌
111,[6] රඣ-කණශ පුත රඣපුත-කණශ ලෙණ‌ෙ අගත-අනගත-චතුදිශ-ශගශ,කණ්ණ රජුගේ පුත් වන රාජපුත්ත කණ්ණගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සංඝයාට [දෙන ලදී]
112,[1] අති-අජරිය-බතිය මත උපශික-නගය,ඇත් ඇඳුරු බතිගේ මව වන උපාසිකා නාගාගේ
113,බත-ශුමනහ තල-චඩි,ප්‍රමුඛ සුමනගේ තලිය
114,[3] බරත පිඩප[ටි]-තිශ-තෙරහ,
115,[1] ගමික-අනුඩි-ඣය-උපශික-සොණය ලෙණ‌ෙ,ගම් ප්‍රධානී අනුඩිගේ භාර්යාව වන  උපාසිකා සොණාගේ ලෙණ‌
116,[2] බත මහතිශහ ච ගමික-නගශ සදයශ,ස්වාමී මහාතිස්සගේ සහ හවුල්කරු ගම් ප්‍රධානී නාගගේ
117,[3] (1) ගමික-බමලි-පුත අබයශ ලෙණ‌ෙ උපශික-තිශය(2) ශගශ (දිනෙ),
118,[4] ..........ශ ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ,..........ගේ ලෙණ‌ පැමිණියාවූත් නොපැමිණියාවූත් සතරදිග සංඝයාට [දෙන ලදී]
118a,[5] ගමික උපලිය ලෙණ‌ෙ,ගම් ප්‍රධානී උපාලිගේ ලෙණ‌
119,පරුමක-ශුරිදහ ලෙණ‌ෙ,ප්‍රමුඛ සුරින්දගේ ලෙණ‌
120,[1] පරුමක-නග-පුත-තිශහ ලෙණ‌ෙ ශගශ (සංකේත අංක17පළමු අක්ෂර ත්‍රිත්වයට පහළින් දක්වා ඇත),ප්‍රමුඛ නාගගේ පුත් වන තිස්සගේ ලෙණ‌ සංඝයාට [පූජා කරන ලදී]
121,[2] සගශ ලෙණ‌ෙ බත-චිතගුතශ පුත වෙලුශ ලෙණ‌ෙ පරුමක ......... මශ ලෙණ‌ෙ,"ලෙණ‌ සංඝයාට [දෙන ලදී], ස්වාමී චිත්තගුත්තගේ පුත් වන වෙලුගේ ලෙණ‌, ප්‍රමුඛ ........ම ගේ ලෙණ‌"
122,[3] බුතදතහ ලෙණ‌ෙ,බුද්ධදත්තගේ ලෙණ‌.
123,[4] ගපති-වෙලු-පුතන තිණි-බතිකණ ශගශ බත-දතහ ලෙණ‌ෙ,ගෘහපති වෙලුගේ පුතුන් වන සහෝදරයින් තිදෙනාගේ [ලෙන] සංඝයාට [දෙන ලදී]. ස්වාමි දත්තගේ ලෙණ‌
124,[5] බමණ-ශුග-පුත-පුශදෙවශ ච දතශ ච ලෙණ‌ෙ ශගශ,බ්‍රාහ්මණ ශුංගගේ පුත් වන ඵුස්සදේවගේ ලෙණ‌ සංඝයාට [දෙන ලදී].
